registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
329;T+24:30:01;100;0;HUMEDO;33.94;
330;T+24:35:01;100;0;HUMEDO;34.00;
331;T+24:40:01;100;0;HUMEDO;34.13;
332;T+24:45:01;100;0;HUMEDO;34.06;
333;T+24:50:01;100;0;HUMEDO;34.06;
334;T+24:55:01;100;0;HUMEDO;34.13;
335;T+25:00:01;100;0;HUMEDO;34.31;
336;T+25:05:01;100;0;HUMEDO;34.25;
337;T+25:10:01;100;0;HUMEDO;34.25;
338;T+25:15:01;100;0;HUMEDO;34.38;
339;T+25:20:01;100;0;HUMEDO;34.38;
340;T+25:25:01;100;0;HUMEDO;34.44;
341;T+25:30:01;100;0;HUMEDO;34.38;
342;T+25:35:01;100;0;HUMEDO;34.44;
343;T+25:40:01;100;0;HUMEDO;34.50;
344;T+25:45:01;100;0;HUMEDO;34.50;
345;T+25:50:01;100;0;HUMEDO;34.63;
346;T+25:55:01;100;0;HUMEDO;34.69;
347;T+26:00:01;100;0;HUMEDO;34.75;
348;T+26:05:01;100;0;HUMEDO;34.69;
349;T+26:10:01;100;0;HUMEDO;34.81;
350;T+26:15:01;100;0;HUMEDO;34.88;
351;T+26:20:01;100;0;HUMEDO;34.88;
352;T+26:25:01;100;0;HUMEDO;34.94;
353;T+26:30:01;100;0;HUMEDO;34.88;
354;T+26:35:01;100;0;HUMEDO;35.00;
355;T+26:40:01;100;0;HUMEDO;35.06;
356;T+26:45:01;100;0;HUMEDO;35.19;
357;T+26:50:01;100;0;HUMEDO;35.19;
358;T+26:55:01;100;0;HUMEDO;35.13;
359;T+27:00:01;100;0;HUMEDO;35.25;
360;T+27:05:01;100;0;HUMEDO;35.19;
361;T+27:10:01;100;0;HUMEDO;35.31;
362;T+27:15:01;100;0;HUMEDO;35.31;
363;T+27:20:01;100;0;HUMEDO;35.31;
364;T+27:25:01;100;0;HUMEDO;35.50;
365;T+27:30:01;100;0;HUMEDO;35.56;
366;T+27:35:01;100;0;HUMEDO;35.50;
367;T+27:40:01;100;0;HUMEDO;35.56;
368;T+27:45:01;100;0;HUMEDO;35.63;
369;T+27:50:01;100;0;HUMEDO;35.56;
370;T+27:55:01;100;0;HUMEDO;35.75;
371;T+28:00:01;100;0;HUMEDO;35.69;
372;T+28:05:01;100;0;HUMEDO;35.69;
373;T+28:10:01;100;0;HUMEDO;35.75;
374;T+28:15:01;100;0;HUMEDO;35.88;
375;T+28:20:01;100;0;HUMEDO;35.88;
376;T+28:25:01;100;0;HUMEDO;35.88;
377;T+28:30:01;100;0;HUMEDO;36.00;
378;T+28:35:01;100;0;HUMEDO;36.00;
379;T+28:40:01;100;0;HUMEDO;36.06;
380;T+28:45:01;100;0;HUMEDO;36.00;
381;T+28:50:01;100;0;HUMEDO;36.06;
382;T+28:55:01;100;0;HUMEDO;36.13;
383;T+29:00:01;100;0;HUMEDO;36.13;
384;T+29:05:01;100;0;HUMEDO;36.19;
385;T+29:10:01;100;0;HUMEDO;36.25;
386;T+29:15:01;100;0;HUMEDO;36.19;
387;T+29:20:01;100;0;HUMEDO;36.31;
388;T+29:25:01;100;0;HUMEDO;36.13;
389;T+29:30:01;100;0;HUMEDO;36.13;
390;T+29:35:01;100;0;HUMEDO;36.25;
391;T+29:40:01;100;0;HUMEDO;36.31;
392;T+29:45:01;100;0;HUMEDO;36.38;
393;T+29:50:01;100;0;HUMEDO;36.31;
394;T+29:55:01;100;0;HUMEDO;36.31;
395;T+30:00:01;100;0;HUMEDO;36.25;
396;T+30:05:01;100;0;HUMEDO;36.44;
397;T+30:10:01;100;0;HUMEDO;36.38;
398;T+30:15:01;100;0;HUMEDO;36.44;
399;T+30:20:01;100;0;HUMEDO;36.50;
400;T+30:25:01;100;0;HUMEDO;36.50;
401;T+30:30:01;100;0;HUMEDO;36.50;
402;T+30:35:01;100;0;HUMEDO;36.38;
403;T+30:40:01;100;0;HUMEDO;36.50;
404;T+30:45:01;100;0;HUMEDO;36.50;
405;T+30:50:01;100;0;HUMEDO;36.44;
406;T+30:55:01;100;0;HUMEDO;36.50;
407;T+31:00:01;100;0;HUMEDO;36.44;
408;T+31:05:01;100;0;HUMEDO;36.44;
409;T+31:10:01;100;0;HUMEDO;36.56;
410;T+31:15:01;100;0;HUMEDO;36.38;
411;T+31:20:01;100;0;HUMEDO;36.50;
412;T+31:25:01;100;0;HUMEDO;36.50;
413;T+31:30:01;100;0;HUMEDO;36.44;
414;T+31:35:01;100;0;HUMEDO;36.50;
415;T+31:40:01;100;0;HUMEDO;36.63;
416;T+31:45:01;100;0;HUMEDO;36.50;
417;T+31:50:01;100;0;HUMEDO;36.50;
418;T+31:55:01;100;0;HUMEDO;36.50;
419;T+32:00:01;100;0;HUMEDO;36.50;
420;T+32:05:01;100;0;HUMEDO;36.56;
421;T+32:10:01;100;0;HUMEDO;36.44;
422;T+32:15:01;100;0;HUMEDO;36.38;
423;T+32:20:01;100;0;HUMEDO;36.44;
424;T+32:25:01;100;0;HUMEDO;36.44;
425;T+32:30:01;100;0;HUMEDO;36.63;
426;T+32:35:01;100;0;HUMEDO;36.50;
427;T+32:40:01;100;0;HUMEDO;36.50;
428;T+32:45:01;100;0;HUMEDO;36.44;
429;T+32:50:01;100;0;HUMEDO;36.38;
430;T+32:55:01;100;0;HUMEDO;36.44;
431;T+33:00:01;100;0;HUMEDO;36.38;
432;T+33:05:01;100;0;HUMEDO;36.50;
433;T+33:10:01;100;0;HUMEDO;36.38;
434;T+33:15:01;100;0;HUMEDO;36.44;
435;T+33:20:01;100;0;HUMEDO;36.44;
436;T+33:25:01;100;0;HUMEDO;36.44;
437;T+33:30:01;100;0;HUMEDO;36.31;
438;T+33:35:01;100;0;HUMEDO;36.31;
439;T+33:40:01;100;0;HUMEDO;36.50;
440;T+33:45:01;100;0;HUMEDO;36.38;
441;T+33:50:01;100;0;HUMEDO;36.25;
442;T+33:55:01;100;0;HUMEDO;36.25;
443;T+34:00:01;100;0;HUMEDO;36.25;
